MAN,YYC,2008,Pleasure
YYC,YVR,2008,Pleasure
YVR,YYC,2008,Pleasure
YYC,MAN,2008,Pleasure
STN,MMX,2009,Business
MMX,STN,2009,Business
STN,PUF,2010,Pleasure
PUF,STN,2010,Pleasure
STN,TLL,2010,Pleasure
RIX,STN,2010,Pleasure
LHR,SIN,2011,Business
SIN,HKT,2011,Business
PQC,SGN,2011,Business
PNH,SIN,2011,Business
SIN,DEL,2011,Business
DEL,SIN,2011,Business
SIN,AKL,2011,Business
AKL,HKG,2011,Business
HKG,LHR,2011,Business
STN,PRG,2012,Pleasure
PRG,STN,2012,Pleasure
LAS,GCN,2012,Business
GCN,LAS,2012,Business
SFO,NRT,2013,Pleasure
NRT,SFO,2013,Pleasure
LHR,SVG,2014,Business
SVG,TRD,2014,Business
TRD,SVG,2014,Business
SVG,LHR,2014,Business
LHR,VIE,2015,Pleasure
VIE,LHR,2015,Pleasure
LHR,IST,2016,Business
IST,LHR,2016,Business
LHR,MAD,2017,Pleasure
MAD,SCL,2017,Pleasure
SCL,PMC,2017,Pleasure
PMC,PUQ,2017,Pleasure
PUQ,SCL,2017,Pleasure
SCL,MAD,2017,Pleasure
MAD,LHR,2017,Pleasure
SJC,DEN,2018,Business
DEN,SJC,2018,Business
